Date,Open,High,Low,Close,Adj Close,Volume
2013-11-02,43.200001,43.490002,41.000000,41.529999,38.418335,8469145
2013-11-09,41.740002,43.000000,40.369999,42.509998,39.324905,8788659
2013-11-16,42.509998,42.900002,40.389999,40.750000,37.696785,7606378
2013-11-23,40.810001,41.529999,39.830002,40.799999,37.743038,20712761
2013-11-30,40.610001,41.400002,39.770000,40.939999,38.203510,9829098
2013-12-07,40.570000,41.490002,38.299999,38.560001,35.982597,12628456
2013-12-14,38.299999,39.400002,37.849998,38.549999,35.973267,21462431
2013-12-21,38.070000,39.740002,38.070000,39.610001,36.962418,13840696
2013-12-28,39.419998,40.490002,38.110001,38.590000,36.010590,10209899
2014-01-04,38.599998,39.180000,36.180000,36.680000,34.228260,18534125
2014-01-11,36.790001,37.279999,36.020000,36.160000,33.743019,11470252
2014-01-18,36.099998,36.490002,33.650002,34.570000,32.259293,22652837
2014-01-25,34.740002,35.689999,33.799999,35.529999,33.155125,13802493
2014-02-01,35.529999,35.700001,34.110001,35.400002,33.033821,9954314
2014-02-08,35.509998,36.099998,34.209999,35.750000,33.360420,14164956
2014-02-15,35.799999,36.070000,33.650002,35.009998,32.669880,6745447
2014-02-22,34.830002,36.000000,33.750000,34.750000,32.427261,12588098
2014-03-01,34.689999,36.610001,34.110001,34.799999,32.473919,12720301
2014-03-08,34.650002,35.290001,32.459999,32.529999,30.355650,12909441
2014-03-15,32.529999,35.919998,32.529999,35.709999,33.323093,13383724
2014-03-22,35.849998,35.990002,34.250000,35.330002,32.968498,8454620
2014-03-29,35.150002,36.200001,34.900002,35.340000,32.977825,15312522
2014-04-05,35.400002,37.000000,35.020000,35.980000,33.575050,17908439
2014-04-12,35.980000,36.099998,35.299999,35.970001,33.565712,6017685
2014-04-19,35.980000,38.200001,35.599998,37.189999,34.704170,10503594
2014-04-26,37.049999,37.900002,35.099998,35.180000,32.828526,12449592
2014-05-03,35.349998,36.490002,34.669998,35.250000,32.893841,7774975
2014-05-10,35.400002,36.930000,35.349998,36.439999,34.004303,7433791
2014-05-17,36.549999,37.799999,36.369999,37.270000,34.778820,8421780
2014-05-24,37.180000,38.099998,37.060001,37.200001,34.713509,8258442
2014-05-31,37.029999,38.040001,37.029999,37.470001,34.965458,7435391
2014-06-07,37.279999,39.500000,37.279999,38.509998,35.935936,11621819
2014-06-14,38.590000,39.900002,38.509998,39.700001,37.046398,11269876
2014-06-21,39.439999,39.970001,38.000000,38.080002,35.534683,7055876
2014-06-28,38.080002,39.520000,37.810001,39.480000,36.841103,9239291
2014-07-05,39.279999,40.689999,38.880001,40.520000,37.811592,7396935
2014-07-12,40.320000,41.500000,40.090000,41.450001,38.679428,6322455
2014-07-19,41.509998,42.410000,40.849998,42.230000,39.407284,9180600
2014-07-26,42.020000,43.099998,39.470001,40.619999,37.904900,9175179
2014-08-02,40.630001,42.750000,40.630001,41.700001,38.912712,8637138
2014-08-09,41.950001,43.000000,41.630001,42.360001,39.528603,8002620
2014-08-16,42.419998,43.200001,42.209999,42.910000,40.041840,7014763
2014-08-23,42.700001,43.000000,41.000000,41.160000,38.408810,12169474
2014-08-30,41.349998,41.380001,39.840000,40.060001,37.382339,13240201
2014-09-06,40.090000,41.000000,40.000000,40.119999,37.438328,6363004
2014-09-13,40.029999,41.099998,39.119999,39.450001,36.813110,14615494
2014-09-20,39.299999,40.009998,38.400002,39.080002,36.467842,15579615
2014-09-27,39.060001,39.500000,38.299999,39.240002,36.617149,7976471
2014-10-04,39.049999,40.200001,38.500000,38.790001,36.197224,6462786
2014-10-11,38.980000,39.849998,38.160000,39.450001,36.813110,6730124
2014-10-18,39.330002,40.549999,38.419998,40.279999,37.587627,8316747
2014-10-25,40.080002,40.380001,39.230000,39.389999,36.757118,8973202
2014-11-01,39.349998,40.000000,38.540001,38.880001,36.281212,5075742
2014-11-08,39.130001,39.419998,37.799999,38.009998,35.469364,6566247
2014-11-15,38.009998,39.619999,37.160000,39.419998,36.785110,6168497
2014-11-22,39.419998,39.480000,38.189999,39.110001,36.495834,7250964
2014-11-29,39.349998,39.660000,37.290001,37.720001,35.198746,9266464
2014-12-06,37.669998,37.779999,35.189999,36.259998,33.836330,7650937
2014-12-13,36.259998,40.000000,35.000000,39.759998,37.102390,11532261
2014-12-20,40.000000,41.139999,39.619999,40.799999,38.072876,4416437
2014-12-27,40.799999,41.000000,39.270000,39.770000,37.111717,3814731
2015-01-03,39.799999,41.490002,38.000000,40.220001,37.531647,9028135
2015-01-10,40.160000,40.730000,37.610001,39.160000,36.542496,7282219
2015-01-17,39.209999,41.090000,39.000000,40.410000,37.708942,8074310
2015-01-24,40.660000,40.709999,38.000000,38.139999,35.590668,10198814
2015-01-31,38.139999,39.900002,38.139999,39.330002,36.701130,8512413
2015-02-07,38.810001,40.799999,38.549999,40.619999,37.904900,11104192
2015-02-14,40.349998,42.330002,40.000000,41.810001,39.015369,6970861
2015-02-21,41.869999,43.099998,41.250000,42.220001,39.397961,14452106
2015-02-28,41.500000,42.200001,40.650002,40.810001,38.082211,10753916
2015-03-07,40.500000,42.599998,40.480000,42.500000,39.659245,9484204
2015-03-14,42.500000,44.470001,41.689999,44.209999,41.254944,22355255
2015-03-21,43.500000,44.549999,42.400002,42.619999,39.771221,13560590
2015-03-28,42.110001,44.250000,42.110001,43.220001,40.331116,5891050
2015-04-04,43.189999,44.740002,42.759998,43.000000,40.125820,11115479
2015-04-11,43.060001,43.689999,42.400002,42.689999,39.836540,14961164
2015-04-18,42.950001,43.730000,42.000000,42.360001,39.528603,11001688
2015-04-25,42.349998,43.389999,41.000000,41.200001,38.446136,9685426
2015-05-02,41.340000,42.490002,41.000000,41.900002,39.099350,8595254
2015-05-09,41.900002,43.189999,41.360001,42.380001,39.547268,5763916
2015-05-16,42.599998,42.950001,41.520000,41.759998,38.968708,6707154
2015-05-23,41.560001,41.980000,40.020000,41.680000,38.894054,10863663
2015-05-30,41.209999,41.959999,40.040001,40.310001,37.615627,10477984
2015-06-06,40.209999,41.889999,40.209999,41.020000,38.278168,8568052
2015-06-13,40.490002,41.070000,40.310001,40.810001,38.082211,10357763
2015-06-20,40.810001,41.580002,40.250000,41.389999,38.623436,8438271
2015-06-27,41.180000,41.450001,40.209999,41.389999,38.623436,10364361
2015-07-04,41.310001,42.709999,40.860001,42.580002,39.733898,9317633
2015-07-11,42.459999,42.799999,41.599998,42.500000,39.659245,6046668
2015-07-18,42.540001,43.799999,41.790001,41.910000,39.108677,9613258
